subject,body_text,url_count,has_urgency,label
Lunch reservation details (Ref: 733),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Alice.",1,0,0
Verify your banking details to avoid limitations,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-netflix-support.net/login,2,1,1
Weekly Project Progress Update (Ref: 639),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, Alice.",0,0,0
PayPal Support: Unauthorized funds transfer request,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-chase-support.net/login,2,0,1
Release notes for version 2.4.1 (Ref: 653),"Attached are the slides for the client presentation. Please review them before the call. Thanks, Alice.",0,0,0
Update Billing Information: Payment Restrict Alert,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-netflix-support.net/login",2,1,1
New repository pull request merged (Ref: 536),"Merged PR #405: updates user session cookies validation handlers. Thanks, John.",0,0,0
Microsoft Account: Verify security settings now,"A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-amazon-support.net/login",2,1,1
Weekly Project Progress Update (Ref: 806),"Attached are the slides for the client presentation. Please review them before the call. Thanks, Alice.",1,0,0
Microsoft Account: Verify security settings now,"A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-netflix-support.net/login",3,1,1
Feedback on code design patterns (Ref: 659),"Your request for business travel expenses has been reviewed and approved by management. Thanks, Alice.",1,0,0
Microsoft Account: Verify security settings now,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-chase-support.net/login,3,1,1
Annual performance evaluation reminder (Ref: 401),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, John.",0,0,0
Microsoft Account: Verify security settings now,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-paypal-support.net/login,1,1,1
Quarterly financial report summary (Ref: 990),"Merged PR #405: updates user session cookies validation handlers. Thanks, David.",1,0,0
URGENT: Verify your account activity immediately!,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-chase-support.net/login",1,1,1
Annual performance evaluation reminder (Ref: 975),"We successfully deployed the latest security patches to the production clusters. Thanks, David.",1,0,0
"Congratulations! You won a $1,000 reward voucher","Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-amazon-support.net/login",1,0,1
Approved: Expense report #3904 (Ref: 212),"Attached are the slides for the client presentation. Please review them before the call. Thanks, Alice.",0,0,0
Invoice Notification: Payment outstanding #83940,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-amazon-support.net/login,2,1,1
Weekly Project Progress Update (Ref: 426),"Merged PR #405: updates user session cookies validation handlers. Thanks, Sarah.",1,0,0
"Congratulations! You won a $1,000 reward voucher","A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-amazon-support.net/login",2,0,1
Feedback on code design patterns (Ref: 248),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, Sarah.",1,0,0
Microsoft Account: Verify security settings now,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-netflix-support.net/login,1,1,1
Annual performance evaluation reminder (Ref: 166),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, David.",1,0,0
URGENT: Verify your account activity immediately!,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-chase-support.net/login,3,1,1
Quarterly financial report summary (Ref: 145),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, David.",1,0,0
Verify your banking details to avoid limitations,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-amazon-support.net/login,2,1,1
Weekly Project Progress Update (Ref: 774),"Your request for business travel expenses has been reviewed and approved by management. Thanks, David.",0,0,0
Invoice Notification: Payment outstanding #83940,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-netflix-support.net/login",1,1,1
Client presentation slide deck (Ref: 245),"Your request for business travel expenses has been reviewed and approved by management. Thanks, John.",1,0,0
Netflix: Your subscription has been suspended!,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-chase-support.net/login,1,1,1
Weekly Project Progress Update (Ref: 630),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, David.",1,0,0
Invoice Notification: Payment outstanding #83940,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-paypal-support.net/login",3,1,1
Lunch reservation details (Ref: 410),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, Sarah.",1,0,0
PayPal Support: Unauthorized funds transfer request,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-amazon-support.net/login,2,1,1
Annual performance evaluation reminder (Ref: 142),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, David.",0,0,0
Update Billing Information: Payment Restrict Alert,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-paypal-support.net/login,1,1,1
Lunch reservation details (Ref: 573),"We successfully deployed the latest security patches to the production clusters. Thanks, Alice.",1,0,0
Microsoft Account: Verify security settings now,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-netflix-support.net/login,1,1,1
Lunch reservation details (Ref: 958),"We successfully deployed the latest security patches to the production clusters. Thanks, Alice.",0,0,0
System Warning: Update password immediately!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-amazon-support.net/login",3,1,1
Weekly Project Progress Update (Ref: 224),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, David.",1,0,0
Security Alert: Unauthorized login attempts detected,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-paypal-support.net/login,3,1,1
Quarterly financial report summary (Ref: 582),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, John.",1,0,0
PayPal Support: Unauthorized funds transfer request,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-amazon-support.net/login",3,0,1
Feedback on code design patterns (Ref: 963),"Attached are the slides for the client presentation. Please review them before the call. Thanks, David.",0,0,0
Netflix: Your subscription has been suspended!,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-amazon-support.net/login,1,1,1
New repository pull request merged (Ref: 294),"We successfully deployed the latest security patches to the production clusters. Thanks, Alice.",0,0,0
Invoice Notification: Payment outstanding #83940,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-netflix-support.net/login,2,1,1
Quarterly financial report summary (Ref: 845),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, Sarah.",1,0,0
Invoice Notification: Payment outstanding #83940,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-netflix-support.net/login",2,1,1
Client presentation slide deck (Ref: 297),"We successfully deployed the latest security patches to the production clusters. Thanks, Alice.",1,0,0
System Warning: Update password immediately!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-amazon-support.net/login",3,1,1
Feedback on code design patterns (Ref: 690),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, David.",1,0,0
Microsoft Account: Verify security settings now,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-amazon-support.net/login,1,1,1
New repository pull request merged (Ref: 675),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, David.",0,0,0
"Congratulations! You won a $1,000 reward voucher",Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-netflix-support.net/login,1,1,1
Quarterly financial report summary (Ref: 696),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, Alice.",1,0,0
System Warning: Update password immediately!,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-chase-support.net/login,2,1,1
Client presentation slide deck (Ref: 980),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, John.",0,0,0
Update Billing Information: Payment Restrict Alert,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-netflix-support.net/login,3,1,1
Lunch reservation details (Ref: 468),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, John.",1,0,0
Netflix: Your subscription has been suspended!,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-paypal-support.net/login,2,1,1
Release notes for version 2.4.1 (Ref: 930),"Your request for business travel expenses has been reviewed and approved by management. Thanks, John.",0,0,0
Netflix: Your subscription has been suspended!,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-amazon-support.net/login,2,1,1
Release notes for version 2.4.1 (Ref: 279),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, John.",0,0,0
Invoice Notification: Payment outstanding #83940,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-amazon-support.net/login",2,1,1
Annual performance evaluation reminder (Ref: 979),"Your request for business travel expenses has been reviewed and approved by management. Thanks, Alice.",1,0,0
PayPal Support: Unauthorized funds transfer request,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-netflix-support.net/login,3,1,1
Lunch reservation details (Ref: 438),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, Alice.",0,0,0
Netflix: Your subscription has been suspended!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-amazon-support.net/login",1,1,1
Feedback on code design patterns (Ref: 535),"Merged PR #405: updates user session cookies validation handlers. Thanks, Sarah.",0,0,0
Update Billing Information: Payment Restrict Alert,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-chase-support.net/login,3,1,1
Release notes for version 2.4.1 (Ref: 284),"Your request for business travel expenses has been reviewed and approved by management. Thanks, Alice.",1,0,0
Microsoft Account: Verify security settings now,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-amazon-support.net/login,2,1,1
Annual performance evaluation reminder (Ref: 276),"Attached are the slides for the client presentation. Please review them before the call. Thanks, John.",0,0,0
Security Alert: Unauthorized login attempts detected,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-paypal-support.net/login,2,0,1
Client presentation slide deck (Ref: 580),"We successfully deployed the latest security patches to the production clusters. Thanks, Sarah.",1,0,0
PayPal Support: Unauthorized funds transfer request,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-netflix-support.net/login,3,0,1
Quarterly financial report summary (Ref: 401),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, Alice.",1,0,0
Verify your banking details to avoid limitations,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-amazon-support.net/login,1,1,1
Approved: Expense report #3904 (Ref: 367),"Your request for business travel expenses has been reviewed and approved by management. Thanks, Alice.",0,0,0
Netflix: Your subscription has been suspended!,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-netflix-support.net/login,1,1,1
Client presentation slide deck (Ref: 426),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, John.",1,0,0
System Warning: Update password immediately!,"A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-chase-support.net/login",2,1,1
Approved: Expense report #3904 (Ref: 365),"We successfully deployed the latest security patches to the production clusters. Thanks, Alice.",1,0,0
Security Alert: Unauthorized login attempts detected,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-amazon-support.net/login,3,1,1
New repository pull request merged (Ref: 273),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Alice.",1,0,0
Microsoft Account: Verify security settings now,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-paypal-support.net/login,3,1,1
Lunch reservation details (Ref: 553),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, David.",1,0,0
Microsoft Account: Verify security settings now,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-amazon-support.net/login,2,1,1
Client presentation slide deck (Ref: 361),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Sarah.",1,0,0
PayPal Support: Unauthorized funds transfer request,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-paypal-support.net/login,1,1,1
Approved: Expense report #3904 (Ref: 243),"Your request for business travel expenses has been reviewed and approved by management. Thanks, David.",1,0,0
"Congratulations! You won a $1,000 reward voucher","To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-chase-support.net/login",3,0,1
Agenda for Tomorrow's Standup Meeting (Ref: 782),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, Sarah.",0,0,0
Microsoft Account: Verify security settings now,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-paypal-support.net/login",1,1,1
Quarterly financial report summary (Ref: 655),"We successfully deployed the latest security patches to the production clusters. Thanks, David.",1,0,0
Update Billing Information: Payment Restrict Alert,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-chase-support.net/login,1,1,1
Lunch reservation details (Ref: 335),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, John.",1,0,0
PayPal Support: Unauthorized funds transfer request,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-netflix-support.net/login,3,1,1
Approved: Expense report #3904 (Ref: 206),"Merged PR #405: updates user session cookies validation handlers. Thanks, David.",1,0,0
URGENT: Verify your account activity immediately!,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-chase-support.net/login,1,1,1
Client presentation slide deck (Ref: 579),"Merged PR #405: updates user session cookies validation handlers. Thanks, Sarah.",0,0,0
Update Billing Information: Payment Restrict Alert,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-chase-support.net/login,1,1,1
New repository pull request merged (Ref: 902),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, Sarah.",1,0,0
PayPal Support: Unauthorized funds transfer request,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-amazon-support.net/login,3,0,1
Client presentation slide deck (Ref: 454),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, John.",1,0,0
Microsoft Account: Verify security settings now,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-netflix-support.net/login,2,1,1
Approved: Expense report #3904 (Ref: 765),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, John.",1,0,0
System Warning: Update password immediately!,"A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-netflix-support.net/login",1,1,1
Feedback on code design patterns (Ref: 688),"Your request for business travel expenses has been reviewed and approved by management. Thanks, David.",1,0,0
System Warning: Update password immediately!,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-chase-support.net/login,1,1,1
Approved: Expense report #3904 (Ref: 957),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, John.",1,0,0
Update Billing Information: Payment Restrict Alert,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-chase-support.net/login,1,1,1
Quarterly financial report summary (Ref: 963),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, John.",0,0,0
PayPal Support: Unauthorized funds transfer request,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-paypal-support.net/login,2,0,1
Weekly Project Progress Update (Ref: 724),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, Sarah.",1,0,0
PayPal Support: Unauthorized funds transfer request,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-netflix-support.net/login",2,0,1
Client presentation slide deck (Ref: 891),"We successfully deployed the latest security patches to the production clusters. Thanks, Sarah.",0,0,0
Verify your banking details to avoid limitations,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-chase-support.net/login",3,1,1
Lunch reservation details (Ref: 404),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Alice.",1,0,0
Update Billing Information: Payment Restrict Alert,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-netflix-support.net/login,1,1,1
Release notes for version 2.4.1 (Ref: 564),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, David.",0,0,0
PayPal Support: Unauthorized funds transfer request,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-amazon-support.net/login,3,1,1
Weekly Project Progress Update (Ref: 713),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, John.",0,0,0
"Congratulations! You won a $1,000 reward voucher",We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,1,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 995),"Attached are the slides for the client presentation. Please review them before the call. Thanks, John.",1,0,0
Netflix: Your subscription has been suspended!,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-paypal-support.net/login,3,1,1
Client presentation slide deck (Ref: 535),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, David.",1,0,0
PayPal Support: Unauthorized funds transfer request,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-amazon-support.net/login,1,1,1
Weekly Project Progress Update (Ref: 103),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, David.",0,0,0
Netflix: Your subscription has been suspended!,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-chase-support.net/login,2,1,1
Weekly Project Progress Update (Ref: 169),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, Alice.",0,0,0
"Congratulations! You won a $1,000 reward voucher",Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-paypal-support.net/login,1,1,1
New repository pull request merged (Ref: 591),"Your request for business travel expenses has been reviewed and approved by management. Thanks, David.",0,0,0
PayPal Support: Unauthorized funds transfer request,"A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-netflix-support.net/login",3,0,1
Client presentation slide deck (Ref: 697),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, John.",0,0,0
URGENT: Verify your account activity immediately!,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-netflix-support.net/login,2,1,1
Release notes for version 2.4.1 (Ref: 762),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, David.",0,0,0
Invoice Notification: Payment outstanding #83940,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-paypal-support.net/login",1,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 228),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, John.",1,0,0
Update Billing Information: Payment Restrict Alert,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,2,1,1
Annual performance evaluation reminder (Ref: 533),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, David.",0,0,0
Microsoft Account: Verify security settings now,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-netflix-support.net/login,3,1,1
Weekly Project Progress Update (Ref: 806),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, David.",1,0,0
Update Billing Information: Payment Restrict Alert,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-netflix-support.net/login,3,1,1
Feedback on code design patterns (Ref: 867),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, Alice.",0,0,0
Security Alert: Unauthorized login attempts detected,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-amazon-support.net/login,3,1,1
Feedback on code design patterns (Ref: 872),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, John.",0,0,0
URGENT: Verify your account activity immediately!,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,2,1,1
Lunch reservation details (Ref: 630),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, Alice.",1,0,0
PayPal Support: Unauthorized funds transfer request,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-netflix-support.net/login,1,1,1
Quarterly financial report summary (Ref: 378),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, Sarah.",1,0,0
Verify your banking details to avoid limitations,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-paypal-support.net/login",1,1,1
Release notes for version 2.4.1 (Ref: 645),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, David.",1,0,0
System Warning: Update password immediately!,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-paypal-support.net/login,2,1,1
Quarterly financial report summary (Ref: 103),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, David.",1,0,0
"Congratulations! You won a $1,000 reward voucher",We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-paypal-support.net/login,1,1,1
Lunch reservation details (Ref: 776),"Attached are the slides for the client presentation. Please review them before the call. Thanks, David.",1,0,0
Invoice Notification: Payment outstanding #83940,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-paypal-support.net/login,3,1,1
Client presentation slide deck (Ref: 909),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, Sarah.",1,0,0
PayPal Support: Unauthorized funds transfer request,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-amazon-support.net/login,2,1,1
Weekly Project Progress Update (Ref: 324),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, Alice.",1,0,0
URGENT: Verify your account activity immediately!,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-chase-support.net/login",2,1,1
Client presentation slide deck (Ref: 217),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, John.",0,0,0
System Warning: Update password immediately!,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-amazon-support.net/login,1,1,1
Annual performance evaluation reminder (Ref: 724),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, John.",0,0,0
Security Alert: Unauthorized login attempts detected,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-netflix-support.net/login",3,0,1
Approved: Expense report #3904 (Ref: 430),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, David.",0,0,0
System Warning: Update password immediately!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-netflix-support.net/login",3,1,1
Weekly Project Progress Update (Ref: 448),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, Sarah.",1,0,0
PayPal Support: Unauthorized funds transfer request,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-paypal-support.net/login",2,0,1
Client presentation slide deck (Ref: 891),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, Sarah.",1,0,0
"Congratulations! You won a $1,000 reward voucher","To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-paypal-support.net/login",1,0,1
Release notes for version 2.4.1 (Ref: 940),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, Alice.",0,0,0
Security Alert: Unauthorized login attempts detected,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-amazon-support.net/login,1,1,1
Release notes for version 2.4.1 (Ref: 908),"We successfully deployed the latest security patches to the production clusters. Thanks, Alice.",0,0,0
System Warning: Update password immediately!,"A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-paypal-support.net/login",2,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 867),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, David.",1,0,0
System Warning: Update password immediately!,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-chase-support.net/login,2,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 987),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, David.",0,0,0
Netflix: Your subscription has been suspended!,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-paypal-support.net/login,2,1,1
Annual performance evaluation reminder (Ref: 243),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, Sarah.",0,0,0
Verify your banking details to avoid limitations,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-amazon-support.net/login,1,1,1
Release notes for version 2.4.1 (Ref: 509),"Attached are the slides for the client presentation. Please review them before the call. Thanks, Alice.",1,0,0
Security Alert: Unauthorized login attempts detected,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-netflix-support.net/login",1,0,1
New repository pull request merged (Ref: 532),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, Sarah.",0,0,0
System Warning: Update password immediately!,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-chase-support.net/login,1,1,1
Lunch reservation details (Ref: 825),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, Sarah.",0,0,0
Update Billing Information: Payment Restrict Alert,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-amazon-support.net/login,3,1,1
Approved: Expense report #3904 (Ref: 965),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, David.",0,0,0
Microsoft Account: Verify security settings now,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-netflix-support.net/login,2,1,1
Quarterly financial report summary (Ref: 917),"We successfully deployed the latest security patches to the production clusters. Thanks, Sarah.",0,0,0
"Congratulations! You won a $1,000 reward voucher",We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-paypal-support.net/login,3,1,1
Client presentation slide deck (Ref: 686),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Alice.",1,0,0
URGENT: Verify your account activity immediately!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-netflix-support.net/login",1,1,1
Release notes for version 2.4.1 (Ref: 350),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Alice.",1,0,0
Verify your banking details to avoid limitations,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-paypal-support.net/login,3,1,1
Client presentation slide deck (Ref: 916),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, John.",0,0,0
Microsoft Account: Verify security settings now,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,3,1,1
Feedback on code design patterns (Ref: 460),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, Sarah.",0,0,0
Netflix: Your subscription has been suspended!,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-paypal-support.net/login,3,1,1
Approved: Expense report #3904 (Ref: 373),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, David.",0,0,0
System Warning: Update password immediately!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-netflix-support.net/login",2,1,1
Quarterly financial report summary (Ref: 329),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, Alice.",0,0,0
Invoice Notification: Payment outstanding #83940,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,1,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 240),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, Sarah.",1,0,0
Update Billing Information: Payment Restrict Alert,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,3,1,1
